L_LONGMIN;Geometry;display;catégorie;;;
Place du Lieutenant Stéphane Piobetta;"{""coordinates"": [[2.317589386289999, 48.83120991974015], [2.3169835141945394, 48.831348310670656]], ""type"": ""LineString""}";true;personne;;;
Place d'Anvers;"{""coordinates"": [[[2.3450180657306983, 48.88163806240114], [2.344958812935705, 48.88178914066709], [2.344561077037159, 48.88267891138305], [2.344698520486505, 48.88272513390332]], [[2.344561077037159, 48.88267891138305], [2.3445040398510013, 48.882806519903326]]], ""type"": ""MultiLineString""}";true;siège;;;
Place du Châtelet;"{""coordinates"": [[2.3477737339749694, 48.85772143698411], [2.3475648597428904, 48.857349226182855], [2.347518656190556, 48.85731218181085], [2.3475183309067007, 48.85731203614106], [2.3472990871505983, 48.85721516751447], [2.347232606188048, 48.8571855040165], [2.3468433696990676, 48.85731971272266], [2.3471603504204284, 48.85788649560262]], ""type"": ""LineString""}";true;batiment;;;
Cours des Maréchaux;"{""coordinates"": [[[2.4386456872179187, 48.84040229020065], [2.4386945529629767, 48.84061928243399], [2.4388031240237082, 48.84127538656496], [2.439064453320912, 48.84248584965844]], [[2.4379022992880115, 48.8404676451727], [2.438338279852365, 48.84255052361991]], [[2.439064453320912, 48.84248584965844], [2.438338279852365, 48.84255052361991]], [[2.439064453320912, 48.84248584965844], [2.439258105359471, 48.84350473697102], [2.439477911638992, 48.844435096287626]], [[2.4387396989086976, 48.844499257618914], [2.4386075565010272, 48.84391457935357], [2.438338279852365, 48.84255052361991]]], ""type"": ""MultiLineString""}";true;troupes;grade;;
Rue de Crimée;"{""coordinates"": [[[2.392588558210372, 48.87687604706502], [2.3921815221065907, 48.87722216603906], [2.392023046808381, 48.87735996615351]], [[2.3923611952929296, 48.87725291796234], [2.392023046808381, 48.87735996615351], [2.3908671360961735, 48.87836509032719], [2.3900422200428393, 48.87909515689784], [2.389505507627385, 48.87955277880692], [2.3883390338740664, 48.88056662762571], [2.3859389260897315, 48.882665063393965], [2.38554328511977, 48.883010911108826], [2.3855009313677007, 48.88304787189601], [2.384713780683781, 48.883734718737486], [2.384209059144852, 48.88417511387477], [2.383274286892854, 48.8849907302042], [2.382268604426708, 48.88586809830243], [2.3821787134204615, 48.88594709881652], [2.381388535260155, 48.886641470130705], [2.3811901411298377, 48.886814841864364], [2.3807907659011263, 48.88716319868131], [2.3803359200053924, 48.88755986645926], [2.3799263107377757, 48.88791577552592], [2.3796237944569474, 48.88818445510444], [2.379490793603872, 48.888293807088736], [2.379324827921545, 48.888437665931804], [2.3791980837340714, 48.888543731503376], [2.3788992685280106, 48.88882163738694], [2.3785500000486715, 48.88912501024011], [2.3780832581581635, 48.88952939531794], [2.3773780354181, 48.89014359147483], [2.3768721400177713, 48.89055770546131], [2.376667988012065, 48.89072080500198], [2.3750944800140656, 48.89215256001681], [2.374591859645796, 48.892598579771196], [2.3744164608211484, 48.89276473021588], [2.373493086632632, 48.89360037976111], [2.373410556708817, 48.893675220959494], [2.373373044120859, 48.89374252755364], [2.373260972255589, 48.89379919170216], [2.3732093474552496, 48.893860461895564]], [[2.373373044120859, 48.89374252755364], [2.3733674554798316, 48.89384083883159], [2.3733295782734847, 48.89389649731626]], [[2.3732093474552496, 48.893860461895564], [2.3731355560427274, 48.89394803801701], [2.3719980303693453, 48.89515121161241], [2.371941114119585, 48.89524950534493]], [[2.3733295782734847, 48.89389649731626], [2.3732093474552496, 48.893860461895564]], [[2.3733295782734847, 48.89389649731626], [2.3721240245458537, 48.89520037248112], [2.371941114119585, 48.89524950534493], [2.3717921098561745, 48.895350724420354], [2.3716888319450664, 48.89534960704082]]], ""type"": ""MultiLineString""}";true;guerre;;;
Rue Jeanne d'Arc;"{""coordinates"": [[[2.3699109432267886, 48.82863634246461], [2.369039689395073, 48.82928848840428], [2.368686767069105, 48.82939082714976]], [[2.369039689395073, 48.82928848840428], [2.368904886907857, 48.82951897858826]], [[2.3675832898697005, 48.830235190863036], [2.367532373713923, 48.830350481791065], [2.3673258397054733, 48.83055512948719]], [[2.3678038810704103, 48.83034946199652], [2.3676149744986197, 48.83039923277939], [2.3673258397054733, 48.83055512948719], [2.3663625629963727, 48.83128056165706], [2.365266506610698, 48.83207966802482], [2.364862391470909, 48.83237086110834], [2.363695306870252, 48.83324518529336], [2.3636028865237684, 48.833314421652474], [2.3635137219727755, 48.83339815510141], [2.3635109329394224, 48.83342351145401], [2.363502801431401, 48.83345239188235], [2.3634191100279858, 48.833531909357845], [2.363295074236933, 48.83363530609789], [2.361713411415389, 48.834814518814746], [2.36011699612556, 48.83596439241309]], [[2.3592920746427057, 48.836553558704715], [2.3580954625893793, 48.837520239565634], [2.357401707405788, 48.83802126571799], [2.3571386036039956, 48.838220275632786], [2.3571186664646517, 48.838342149425586], [2.357039168770578, 48.838442541005705]]], ""type"": ""MultiLineString""}";true;personne;;;
Hameau du Danube;"{""coordinates"": [[2.392460093861225, 48.881616829096195], [2.392760669041962, 48.88142260644648], [2.393025765466135, 48.881452702236935], [2.393233544659677, 48.88131364927018], [2.3930309351725128, 48.88117644608571], [2.3929162915787616, 48.88109879243612], [2.3927143654179, 48.88122820679876], [2.392760669041962, 48.88142260644648]], ""type"": ""LineString""}";true;troupes;;;
Rue Barbanègre;"{""coordinates"": [[2.3823992111424865, 48.89166485874712], [2.3838992915092256, 48.89287037138357], [2.383969584144459, 48.892926985396485], [2.3841134460985445, 48.89304688509712], [2.384168813801531, 48.893108494376484], [2.384523111343506, 48.89339447349547], [2.384609031674752, 48.89344910798011], [2.3848787828677684, 48.89367069193623]], ""type"": ""LineString""}";true;personne;;;
Rue de Calais;"{""coordinates"": [[2.3318078245985054, 48.882157794258546], [2.329828038210474, 48.88286335229685]], ""type"": ""LineString""}";true;siège;;;
Rue d'Argout;"{""coordinates"": [[2.3426109144658187, 48.86540641749547], [2.3427326768287164, 48.86548059869532], [2.343173457953593, 48.86570425733608], [2.3433359555782274, 48.8657869174258], [2.3435888258260746, 48.865920930899556], [2.3443644595561017, 48.86629135035801], [2.34443892193289, 48.86632235392381]], ""type"": ""LineString""}";true;personne;politique;;
